"Název produktu (CZ)","Kolekce (CZ)","Popis (CZ)","SKU","Cena (€)","Lokální obrázky","Online obrázky","Původní název","Původní kolekce","Původní popis","Značka","Dostupnost","URL produktu"
"Elegantní pánská kožená peněženka na kreditní karty","Modus","Představujeme vám elegantní pánskou koženou peněženku na kreditní karty z kolekce Modus, která dokonale spojuje funkčnost, styl a prvotřídní kvalitu. Vyrobena z vysoce kvalitní italské kůže, tato peněženka je nejen odolná, ale i příjemná na dotek, což ji činí skvělým doplňkem pro každého moderního muže.","PP1518MOSR-N","100.00","images\men-s-credit-card-holder-pp1518mosr\10_PP1518MOSR-N_DETT3.jpg; images\men-s-credit-card-holder-pp1518mosr\10_PP1518MOSR-N_DETT3.jpg; images\men-s-credit-card-holder-pp1518mosr\10_PP1518MOSR-N_DETT3.jpg; images\men-s-credit-card-holder-pp1518mosr\10_PP1518MOSR-N_DETT3.jpg; images\men-s-credit-card-holder-pp1518mosr\10_PP1518MOSR-N_DETT3.jpg; images\men-s-credit-card-holder-pp1518mosr\10_PP1518MOSR-N_DETT3.jpg; images\men-s-credit-card-holder-pp1518mosr\10_PP1518MOSR-N_DETT3.jpg; images\men-s-credit-card-holder-pp1518mosr\10_PP1518MOSR-N_DETT3.jpg; images\men-s-credit-card-holder-pp1518mosr\10_PP1518MOSR-N_DETT3.jpg; images\men-s-credit-card-holder-pp1518mosr\10_PP1518MOSR-N_DETT3.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/PP1518MOSR-BLU_1.jpg?v=1749235843","Portacarte di credito uomo","Modus","Portacarte di credito uomo in pelle","Piquadro","Skladem",""
"Elegantní tenká peněženka na karty pro muže z prémiové kůže","Modus","Tato elegantní tenká peněženka na karty pro muže z prémiové kůže je dokonalým doplňkem pro moderního muže, který ocení jak styl, tak praktičnost. Vyrobená z kvalitní, měkké kůže, která zaručuje dlouhou životnost a odolnost, tato peněženka působí luxusním dojmem a skvěle sedí v kapse. S její minimalistickou verzí se nemusíte obávat objemnosti — můžete se těšit na jednoduchý a elegantní design, který kombinujete s jakýmkoliv outfitem.","PP6553MOSR-N","80.00","images\men-s-slim-credit-card-pouch-pp6553mosr\1_PP6553MOSR-BLU_1_b3358036-41e1-411b-a47c-cc278432cfb0.jpg; images\men-s-slim-credit-card-pouch-pp6553mosr\1_PP6553MOSR-BLU_1_b3358036-41e1-411b-a47c-cc278432cfb0.jpg; images\men-s-slim-credit-card-pouch-pp6553mosr\1_PP6553MOSR-BLU_1_b3358036-41e1-411b-a47c-cc278432cfb0.jpg; images\men-s-slim-credit-card-pouch-pp6553mosr\1_PP6553MOSR-BLU_1_b3358036-41e1-411b-a47c-cc278432cfb0.jpg; images\men-s-slim-credit-card-pouch-pp6553mosr\1_PP6553MOSR-BLU_1_b3358036-41e1-411b-a47c-cc278432cfb0.jpg; images\men-s-slim-credit-card-pouch-pp6553mosr\1_PP6553MOSR-BLU_1_b3358036-41e1-411b-a47c-cc278432cfb0.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/PP6553MOSR-BLU_1_b3358036-41e1-411b-a47c-cc278432cfb0.jpg?v=1749235918","Portacarte di credito uomo sottile","Modus","Portacarte di credito uomo sottile in pelle","Piquadro","Skladem",""
"Elegantní tenká kožená peněženka na kreditní karty pro muže","Blue Square 2","Portacarte uomo sottile in pelle","PP6553B2R-N","80.00","images\men-s-slim-credit-card-pouch-pp6553b2r\1_PP6553B2R-BLU2_1.jpg; images\men-s-slim-credit-card-pouch-pp6553b2r\1_PP6553B2R-BLU2_1.jpg; images\men-s-slim-credit-card-pouch-pp6553b2r\1_PP6553B2R-BLU2_1.jpg; images\men-s-slim-credit-card-pouch-pp6553b2r\1_PP6553B2R-BLU2_1.jpg; images\men-s-slim-credit-card-pouch-pp6553b2r\1_PP6553B2R-BLU2_1.jpg; images\men-s-slim-credit-card-pouch-pp6553b2r\1_PP6553B2R-BLU2_1.jpg; images\men-s-slim-credit-card-pouch-pp6553b2r\1_PP6553B2R-BLU2_1.jpg; images\men-s-slim-credit-card-pouch-pp6553b2r\1_PP6553B2R-BLU2_1.jpg; images\men-s-slim-credit-card-pouch-pp6553b2r\1_PP6553B2R-BLU2_1.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/PP6553B2R-BLU2_1.jpg?v=1749235904","Portacarte di credito uomo sottile","Blue Square 2","Portacarte uomo sottile in pelle","Piquadro","Skladem",""
"Elegantní tenká peněženka na karty pro muže z prémiové kůže","Pulse","Tato elegantní tenká peněženka na karty pro muže z prémiové kůže je dokonalým doplňkem pro moderního muže, který ocení jak styl, tak praktičnost. Vyrobená z kvalitní, měkké kůže, která zaručuje dlouhou životnost a odolnost, tato peněženka působí luxusním dojmem a skvěle sedí v kapse. S její minimalistickou verzí se nemusíte obávat objemnosti — můžete se těšit na jednoduchý a elegantní design, který kombinujete s jakýmkoliv outfitem.","PP2762S135R-BLU","48.00","images\leather-mens-slim-credit-card-pouch-pp2762s135r\10_PP2762S135R-VE_DETT1.jpg; images\leather-mens-slim-credit-card-pouch-pp2762s135r\10_PP2762S135R-VE_DETT1.jpg; images\leather-mens-slim-credit-card-pouch-pp2762s135r\10_PP2762S135R-VE_DETT1.jpg; images\leather-mens-slim-credit-card-pouch-pp2762s135r\10_PP2762S135R-VE_DETT1.jpg; images\leather-mens-slim-credit-card-pouch-pp2762s135r\10_PP2762S135R-VE_DETT1.jpg; images\leather-mens-slim-credit-card-pouch-pp2762s135r\10_PP2762S135R-VE_DETT1.jpg; images\leather-mens-slim-credit-card-pouch-pp2762s135r\10_PP2762S135R-VE_DETT1.jpg; images\leather-mens-slim-credit-card-pouch-pp2762s135r\10_PP2762S135R-VE_DETT1.jpg; images\leather-mens-slim-credit-card-pouch-pp2762s135r\10_PP2762S135R-VE_DETT1.jpg; images\leather-mens-slim-credit-card-pouch-pp2762s135r\10_PP2762S135R-VE_DETT1.jpg; images\leather-mens-slim-credit-card-pouch-pp2762s135r\10_PP2762S135R-VE_DETT1.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/PP2762S135R-BLU_1.jpg?v=1751557697","Portacarte di credito uomo sottile","Pulse","Portacarte di credito uomo sottile in pelle","Piquadro","Skladem",""
"Elegantní automatické pouzdro na karty z kůže a kovu","Muse","Portacarte donna automatico in metallo e pelle","PP5649W92R-GBE","45.00","images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649w92r\10_PP5649W92R-N_1.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/PP5649W92R-AZBE2_1.jpg?v=1751554967","Portacarte donna automatico","Muse","Portacarte donna automatico in metallo e pelle","Piquadro","Skladem",""
"Elegantní kožené pouzdro na karty s přívěskem","Muse","Představujeme vám elegantní kožené pouzdro na karty s přívěskem, které spojuje funkčnost a moderní design. Vyrobeno z vysoce kvalitní italské kůže, toto pouzdro nabízí nejen dlouhou životnost, ale také jedinečný dotek luxusu. Kůže je ošetřena tak, aby odolávala každodennímu opotřebení, zatímco její hladký povrch zajišťuje, že vypadá stále nově.","PP5910W92R-AZBE2","48.00","images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg; images\women-s-coin-pouch-with-key-chain-pp5910w92r\10_PP5910W92R-BI_DETT2.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/PP5910W92R-AVGR_1.jpg?v=1751556453","Portacarte donna con portachiavi","Muse","Portacarte donna in pelle con portachiavi","Piquadro","Skladem",""
"Elegantní kovové pouzdro na kreditní karty","Blue Square 2","Představujeme vám elegantní kovové pouzdro na kreditní karty, které spojuje styl, praktičnost a vysokou kvalitu. Toto pouzdro je vyrobeno z prvotřídního kovu, který zajišťuje nejen atraktivní vzhled, ale i dlouhou životnost a odolnost proti každodennímu opotřebení.","PP5649B2BLR-MO","69.00","images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg; images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg; images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg; images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg; images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg; images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg; images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg; images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg; images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg; images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg; images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg; images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg; images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg; images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg; images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg; images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg; images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg; images\credit-card-holder-case-in-metal-pp5649b2blr\10_PP5649B2BLR-N_DETT2.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/PP5649B2BLR-BLU2_DETT1.jpg?v=1701938877","Portacarte in metallo","Blue Square 2","Portacarte di credito in metallo","Piquadro","Skladem",""
"Elegantní kovové pouzdro na kreditní karty","Urban","Představujeme vám elegantní kovové pouzdro na kreditní karty, které spojuje styl, praktičnost a vysokou kvalitu. Toto pouzdro je vyrobeno z prvotřídního kovu, který zajišťuje nejen atraktivní vzhled, ale i dlouhou životnost a odolnost proti každodennímu opotřebení.","PP5649UB00R-NGR","69.00","images\credit-card-holder-case-in-metal-pp5649ub00r\10_PP5649UB00R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649ub00r\10_PP5649UB00R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649ub00r\10_PP5649UB00R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649ub00r\10_PP5649UB00R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649ub00r\10_PP5649UB00R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649ub00r\10_PP5649UB00R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649ub00r\10_PP5649UB00R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649ub00r\10_PP5649UB00R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649ub00r\10_PP5649UB00R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649ub00r\10_PP5649UB00R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649ub00r\10_PP5649UB00R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649ub00r\10_PP5649UB00R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649ub00r\10_PP5649UB00R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649ub00r\10_PP5649UB00R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649ub00r\10_PP5649UB00R-N_1.jpg; images\credit-card-holder-case-in-metal-pp5649ub00r\10_PP5649UB00R-N_1.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/PP5649UB00R-GR_1.jpg?v=1749235666","Portacarte in metallo","Urban","Portacarte di credito in metallo","Piquadro","Skladem",""
"Elegantní kožený kreditní obal Piquadro pro muže","Blue Square 3","Objevte dokonalou kombinaci elegance a praktičnosti s kreditním obalem Piquadro pro muže, vyrobeným z vysoce kvalitní kůže. Tento jedinečný produkt není jen módním doplňkem, ale také chytrým a funkčním řešením pro každodenní užívání.","PP1518B3R-CU","100.00","images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg; images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg; images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg; images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg; images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg; images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg; images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg; images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg; images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg; images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg; images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg; images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg; images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg; images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg; images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg; images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg; images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg; images\credit-card-holder-with-rfid-anti-fraud-protection-pp1518b3r\10_PP1518B3R-TM_DETT1.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/PP1518B3R-CU_1.jpg?v=1749235756","Portacarte uomo","Blue Square 3","Portacarte di credito uomo in pelle","Piquadro","Skladem",""
"Elegantní automatická peněženka z kůže a kovu","Blue Square 3","Objevte dokonalou kombinaci elegance a funkčnosti s naší automatickou peněženkou, která spojuje moderní design s vysoce kvalitními materiály. Vyrobena z prvotřídní kůže a odolného kovu, tato peněženka je nejen stylovým doplňkem, ale také praktickým pomocníkem pro každodenní použití.","PP4825B3R-BLU4","50.00","images\credit-card-case-with-sliding-system-pp4825b3r\10_PP4825B3R-N_DETT1_be4a60a3-73e1-4348-83da-ca40d97dbfa5.jpg; images\credit-card-case-with-sliding-system-pp4825b3r\10_PP4825B3R-N_DETT1_be4a60a3-73e1-4348-83da-ca40d97dbfa5.jpg; images\credit-card-case-with-sliding-system-pp4825b3r\10_PP4825B3R-N_DETT1_be4a60a3-73e1-4348-83da-ca40d97dbfa5.jpg; images\credit-card-case-with-sliding-system-pp4825b3r\10_PP4825B3R-N_DETT1_be4a60a3-73e1-4348-83da-ca40d97dbfa5.jpg; images\credit-card-case-with-sliding-system-pp4825b3r\10_PP4825B3R-N_DETT1_be4a60a3-73e1-4348-83da-ca40d97dbfa5.jpg; images\credit-card-case-with-sliding-system-pp4825b3r\10_PP4825B3R-N_DETT1_be4a60a3-73e1-4348-83da-ca40d97dbfa5.jpg; images\credit-card-case-with-sliding-system-pp4825b3r\10_PP4825B3R-N_DETT1_be4a60a3-73e1-4348-83da-ca40d97dbfa5.jpg; images\credit-card-case-with-sliding-system-pp4825b3r\10_PP4825B3R-N_DETT1_be4a60a3-73e1-4348-83da-ca40d97dbfa5.jpg; images\credit-card-case-with-sliding-system-pp4825b3r\10_PP4825B3R-N_DETT1_be4a60a3-73e1-4348-83da-ca40d97dbfa5.jpg; images\credit-card-case-with-sliding-system-pp4825b3r\10_PP4825B3R-N_DETT1_be4a60a3-73e1-4348-83da-ca40d97dbfa5.jpg; images\credit-card-case-with-sliding-system-pp4825b3r\10_PP4825B3R-N_DETT1_be4a60a3-73e1-4348-83da-ca40d97dbfa5.jpg; images\credit-card-case-with-sliding-system-pp4825b3r\10_PP4825B3R-N_DETT1_be4a60a3-73e1-4348-83da-ca40d97dbfa5.jpg; images\credit-card-case-with-sliding-system-pp4825b3r\10_PP4825B3R-N_DETT1_be4a60a3-73e1-4348-83da-ca40d97dbfa5.jpg; images\credit-card-case-with-sliding-system-pp4825b3r\10_PP4825B3R-N_DETT1_be4a60a3-73e1-4348-83da-ca40d97dbfa5.jpg; images\credit-card-case-with-sliding-system-pp4825b3r\10_PP4825B3R-N_DETT1_be4a60a3-73e1-4348-83da-ca40d97dbfa5.jpg; images\credit-card-case-with-sliding-system-pp4825b3r\10_PP4825B3R-N_DETT1_be4a60a3-73e1-4348-83da-ca40d97dbfa5.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/PP4825B3R-BLU4_1.jpg?v=1749235432","Portacarte uomo automatico","Blue Square 3","Portacarte uomo automatico in metallo e pelle","Piquadro","Skladem",""
"Elegantní automatická peněženka z kůže a kovu","Modus","Objevte dokonalou kombinaci elegance a funkčnosti s naší automatickou peněženkou, která spojuje moderní design s vysoce kvalitními materiály. Vyrobena z prvotřídní kůže a odolného kovu, tato peněženka je nejen stylovým doplňkem, ale také praktickým pomocníkem pro každodenní použití.","PP5649MOSR-BLU","69.00","images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg; images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg; images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg; images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg; images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg; images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg; images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg; images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg; images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg; images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg; images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg; images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg; images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg; images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg; images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg; images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg; images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg; images\credit-card-holder-case-in-metal-pp5649mosr\10_PP5649MOSR-GR_DETT5.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/PP5649MOSR-BLU_1.jpg?v=1723189369","Portacarte uomo automatico","Modus","Portacarte uomo automatico in metallo e pelle","Piquadro","Skladem",""
"Elegantní automatická peněženka z kůže a kovu","Modus","Objevte dokonalou kombinaci elegance a funkčnosti s naší automatickou peněženkou, která spojuje moderní design s vysoce kvalitními materiály. Vyrobena z prvotřídní kůže a odolného kovu, tato peněženka je nejen stylovým doplňkem, ale také praktickým pomocníkem pro každodenní použití.","PP4825MOSR-BLU","50.00","images\credit-card-case-with-sliding-system-pp4825mosr\1_PP4825MOSR-BLU_1.jpg; images\credit-card-case-with-sliding-system-pp4825mosr\1_PP4825MOSR-BLU_1.jpg; images\credit-card-case-with-sliding-system-pp4825mosr\1_PP4825MOSR-BLU_1.jpg; images\credit-card-case-with-sliding-system-pp4825mosr\1_PP4825MOSR-BLU_1.jpg; images\credit-card-case-with-sliding-system-pp4825mosr\1_PP4825MOSR-BLU_1.jpg; images\credit-card-case-with-sliding-system-pp4825mosr\1_PP4825MOSR-BLU_1.jpg","https://cdn.shopify.com/s/files/1/0616/7258/7444/files/PP4825MOSR-BLU_1.jpg?v=1695829381","Portacarte uomo automatico","Modus","Portacarte uomo automatico in metallo e pelle","Piquadro","Skladem",""
