SKU,Name,Description
"BD6656W92-N","dámská taška na rameno z přírodní kůže v elegantním modelu camera case","Kvalitní dámská taška na rameno z přírodní kůže v elegantním modelu camera case."
"BD6657W92-N","Kapesní taška pro dámy z kvalitní kůže – ideální pro iPad® Mini","Kapesní taška pro dámy z kvalitní kůže – ideální pro iPad® Mini"
"BD6657W92T-N","Krásná a praktická dámská přehradní taška na iPad® mini s ochranou","Krásná a praktická dámská přehradní taška na iPad® mini s ochranou"
"BD6658W92T-N","Kabelka přes rameno pro ženy s ochranou pro iPad® - N","Kabelka přes rameno pro ženy s ochranou pro iPad®"
"BD6723W92T-R","Pohodlná a stylová taška na notebooky pro ženy s praktickým rozkládacím designem, kterou si můžet...","Pohodlná a stylová taška na notebooky pro ženy s praktickým rozkládacím designem, kterou si můžete snadno přizpůsobit podle svých potřeb. Vyrobená z kvalitního materiálu, zajišťuje ochranu vašeho zařízení při každodenním používání. Ideální pro práci, školu nebo cestování, nabízí dostatek prostoru pro notebook, dokumenty i osobní věci. Moderní a multifunkční design s ergonomickými popruhy pro maximální pohodlí."
"BV2960B2-BLU2","Kabinový kufr pro notebook a iPad®","Nesený kočárek pro notebook a iPad® s"
"BV2960B2-MO","Kabinový kufr pro notebook a iPad®","Nesený kočárek pro notebook a iPad® s"
"BV2960B2-N","Kabinový kufr pro notebook a iPad®","Nesený kočárek pro notebook a iPad® s"
"BV2960MO-N","Trolley cabina con compartimento porta PC e porta - N","Kvalitní kabinový kočárek s odděleným oddílem pro notebook a věci"
"BV2960MOS-N","Kabinový kufr s prostorem pro iPad a laptop","Nákupní taška na laptop a iPad® s"
"BV3849MOS-N","Kabina s kočárkem pro notebook a iPad® s","Kabina s kočárkem pro notebook a iPad® s"
"BV4342B2-MO","Praktická a stylová taška na cestování s možností personalizace, ideální pro notebook a iPad","Praktická a stylová taška na cestování s možností personalizace, ideální pro notebook a iPad. Dokonale kombinuje funkčnost a moderní design, aby vám usnadnila každou cestu. Vyberte si svůj oblíbený vzor nebo motiv a vytvořte si tašku, která bude zcela jedinečná – přesně podle vašich představ."
"BV4342B2-N","Praktická a stylová taška na cestování s možností personalizace, ideální pro notebook a iPad","Praktická a stylová taška na cestování s možností personalizace, ideální pro notebook a iPad. Dokonale kombinuje funkčnost a moderní design, aby vám usnadnila každou cestu. Vyberte si svůj oblíbený vzor nebo motiv a vytvořte si tašku, která bude zcela jedinečná – přesně podle vašich představ."
"BV4343BR2-N","Trolley da cabina a 4 ruote - N","Komfortní ultraširoký kabinový kufr na čtyři kolečka"
"BV4425POPD-N","Ultra tenký kabinový kufřík Piquadro x Ducati – styl, praktičnost a kvalita v jednom","Ultra tenký kabinový kufřík Piquadro x Ducati – styl, praktičnost a kvalita v jednom"
"BV4425POPD-R","Ultra tenký kabinový kufřík Piquadro x Ducati – styl, praktičnost a kvalita v jednom","Ultra tenký kabinový kufřík Piquadro x Ducati – styl, praktičnost a kvalita v jednom"
"BV4425PQLS3-VE","Pevný kabinový vozík na 4 kolech - VE","Pevný kabinový vozík na 4 kolech"
"BV4447BR2-BLU","Cestovní taška z recyklované tkaniny","Stylová a ekologická cestovní taška vyrobená z recyklované tkaniny. Prostorný interiér pojme vše, co potřebujete na víkendový výlet nebo delší cestu. Odolný a lehký materiál zajišťuje pohodlné nošení a dlouhou životnost. Ideální pro cestovatele, kteří dbají na udržitelnost a styl."
"BV4447UB00-GRN","Cestovní taška na míru - GRN","Výjimečná kožená cestovní taška s možností personalizace"
"BV4729B2-BLU2","Pilotní kufřík z kůže určený pro notebook a iPad® Pro 12,9","Pilotní kufřík z kůže určený pro notebook a iPad® Pro 12,9"
"BV4729B2-MO","Pilotní kufřík z kůže určený pro notebook a iPad® Pro 12,9","Pilotní kufřík z kůže určený pro notebook a iPad® Pro 12,9"
"BV4729B2-N","Pilotní kufřík z kůže určený pro notebook a iPad® Pro 12,9","Pilotní kufřík z kůže určený pro notebook a iPad® Pro 12,9"
"BV4729BR2-N","Tenká kufříková taška na notebook a iPad® – praktická a stylová doplněk pro vaše cestování a práci","Tenká kufříková taška na notebook a iPad® – praktická a stylová doplněk pro vaše cestování a práci."
"BV4817UB00BM-GRN","Trolley cabina portabile a zaino - GRN","Nesloučený kabínový koffer s ochranou pro notebook a iPad®"
"BV5004B2-MO","Kabinový kufr pro notebook iPad® Pro 12,9""","Kabinetní koloběžka pro notebook a iPad® Pro 12,9"""
"BV5004B2-N","Kabinový kufr pro notebook iPad® Pro 12,9""","Kabinetní koloběžka pro notebook a iPad® Pro 12,9"""
"BV5014B2-MO","Trolley Pilot Kvalitní kožená taška na notebook a iPad® Pro 12,9“","Trolley Pilot Kvalitní kožená taška na notebook a iPad® Pro 12,9“"
"BV5014B2-N","Trolley Pilot Kvalitní kožená taška na notebook a iPad® Pro 12,9“","Trolley Pilot Kvalitní kožená taška na notebook a iPad® Pro 12,9“"
"BV5407MOS-N","Cestovní taška","Praktická a prostorná cestovní taška ideální pro víkendové výlety nebo delší cesty. Odolný materiál a pohodlné uchycení zajišťují snadné nošení a dlouhou životnost. Stylový design kombinuje funkčnost s elegancí, vhodný pro každodenní i cestovní použití."
"BV5993MOS-N","Nesmírně praktická taška na cestování z kvalitní kůže, která se snadno přemění na pohodlný záložn...","Nesmírně praktická taška na cestování z kvalitní kůže, která se snadno přemění na pohodlný záložní batoh. Ideální doplněk pro každodenní dojíždění nebo delší výlety."
"BV6270BR2-N","Kabinový zavazadlový kufřík s rolíkem a rozkládacím sedačkovým designem z odolného tkaného materiálu","Kabinový zavazadlový kufřík s rolíkem a rozkládacím sedačkovým designem z odolného tkaného materiálu."
"BV6343BR2-N","Trolley kabina pod sedadlem z recyklovaného textilu - N","Trolley kabina pod sedadlem z recyklovaného textilu"
"BV6393PQLS3-VE","Univerzální expandující kufr na čtyřech kolečkách s pevnou konstrukcí - VE","Univerzální expandující kufr na čtyřech kolečkách s pevnou konstrukcí"
"BV6701PQL-R2","Trolley da cabina underseater - R2","Kabinový zatahovací koffer s podsedacím prostorem"
"BV6722W92T-BE","Taška na noclehy pro ženy z recyklovaného materiálu – praktická a ekologická volba","Taška na noclehy pro ženy z recyklovaného materiálu – praktická a ekologická volba"
"BV6722W92T-N","Taška na noclehy pro ženy z recyklovaného materiálu – praktická a ekologická volba","Taška na noclehy pro ženy z recyklovaného materiálu – praktická a ekologická volba"
"BV6730C2OW-N","Malá cestovní taška z gumovaného textilu - N","Malá cestovní taška z gumovaného textilu"
"BY3058BR2-N","Praktická a stylová kosmetická taška pro muže vyrobená z recyklovaného materiálu a kvalitní kůže","Praktická a stylová kosmetická taška pro muže vyrobená z recyklovaného materiálu a kvalitní kůže. Ideální pro organizaci vašich osobních potřeb a perfektně doplňuje váš denní styl."
"BY3851B2-BLU2","Beauty case uomo - BLU2","Mužská kosmetická taška z kvalitní kůže – stylové a praktické řešení pro vaši každodenní péči. Navržená s důrazem na eleganci a trvanlivost, tato taška je ideální pro uschování všech vašich hygienických potřeb a kosmetických přípravků. Kompaktní a snadno přenositelná, s pečlivě vybranými detaily, které dodávají luxusní vzhled. Perfektní doplněk pro mužský styl a pohodlí."
"BY3851B2-N","Pánská kosmetická taška","Pánská kosmetická taška z kvalitní kůže – stylové a praktické řešení pro vaši každodenní péči. Navržená s důrazem na eleganci a trvanlivost, tato taška je ideální pro uschování všech vašich hygienických potřeb a kosmetických přípravků. Kompaktní a snadno přenositelná, s pečlivě vybranými detaily, které dodávají luxusní vzhled. Perfektní doplněk pro mužský styl a pohodlí."
"BY3851B2-R","Beauty case uomo - R","Mužská kosmetická taška z kvalitní kůže – stylové a praktické řešení pro vaši každodenní péči. Navržená s důrazem na eleganci a trvanlivost, tato taška je ideální pro uschování všech vašich hygienických potřeb a kosmetických přípravků. Kompaktní a snadno přenositelná, s pečlivě vybranými detaily, které dodávají luxusní vzhled. Perfektní doplněk pro mužský styl a pohodlí."
"BY3851B3-CU","Pánská kosmetická taška","Kvalitní mužský kosmetický přípravek z pravé kůže"
"BY3851B3-N","Pánská kosmetická taška","Kvalitní mužský kosmetický přípravek z pravé kůže"
"BY3851B3-TM","Pánská kosmetická taška","Kvalitní mužský kosmetický přípravek z pravé kůže"
"BY3851MO-N","Nécessaire da viaggio - N","Cestovní toaletní taška"
"BY3880UB00-GRN","Beauty case uomo - GRN","Kvalitní kožená kosmetická taška pro muže"
"BY5011B2-BLU2","Beauty case uomo in pelle a due scomparti - BLU2","Elegantní kožená kabelka pro muže s dvěma odděleními – stylový přívěsek, který se stane nepostradatelnou součástí vašeho oblečení. Vyrobená z kvalitní kůže, kombinuje praktičnost a luxusní vzhled, ideální pro každodenní použití nebo cestování."
"BY5011B2-MO","Beauty case uomo in pelle a due scomparti - MO","Elegantní kožená kabelka pro muže s dvěma odděleními – stylový přívěsek, který se stane nepostradatelnou součástí vašeho oblečení. Vyrobená z kvalitní kůže, kombinuje praktičnost a luxusní vzhled, ideální pro každodenní použití nebo cestování."
"BY5011B2-N","Beauty case uomo in pelle a due scomparti - N","Elegantní kožená kabelka pro muže s dvěma odděleními – stylový přívěsek, který se stane nepostradatelnou součástí vašeho oblečení. Vyrobená z kvalitní kůže, kombinuje praktičnost a luxusní vzhled, ideální pro každodenní použití nebo cestování."
"BY5011MOS-N","Beauty case uomo in pelle a due scomparti - N","Praktický mužský kabelka z kvalitní kůže s dvěma oddělenými oddíly. Perfektní pro uspořádání všech vašich kosmetických potřeb, bezpečnostních předmětů nebo malých předmětů, které nosíte každý den. Stylový design a odolná konstrukce zajistí dlouhou životnost. Ideální doplněk pro každodenní použití nebo cestování."
"BY6021S134-N","**Pohodlná kabelka pro pány z kvalitní kůže** - N","**Pohodlná kabelka pro pány z kvalitní kůže**"
"BY6021S136-N","Beauty case uomo in tessuto riciclato - N","Mužská kosmetická taška z recyklovaného textilu a kůže"
"BY6149BR2-N","Univerzální kosmetická taška pro muže z recyklovaného textilu a kůže - N","Univerzální kosmetická taška pro muže z recyklovaného textilu a kůže"
"BY6380C2OW-N","Kosmetická taška z odolné gumové tkaniny - N","Kosmetická taška z odolné gumové tkaniny"
"BY6543W92-AZBE2","Trousse per il trucco in pelle - AZBE2","Eleganťní kosmetická taška z kvalitní kůže"
"BY6543W92-VIVI2","Trousse per il trucco in pelle - VIVI2","Eleganťní kosmetická taška z kvalitní kůže"
"BY6652S137-AR","Beauty case uomo - AR","Mužská kosmetická taška"
"CA1068B2-BLU2","Praktická aktovka s oddílem pro notebook a iPad® Pro 12,9""","Praktická aktovka s oddílem pro notebook a iPad® Pro 12,9"""
"CA1068B2-MO","Praktická aktovka s oddílem pro notebook a iPad® Pro 12,9""","Praktická aktovka s oddílem pro notebook a iPad® Pro 12,9"""
"CA1068B2-N","Praktická aktovka s oddílem pro notebook a iPad® Pro 12,9""","Praktická aktovka s oddílem pro notebook a iPad® Pro 12,9"""
"CA1068MO-N","Praktická pracovního koš s nosičem pro notebook a iPad®","Praktická pracovního koš s nosičem pro notebook a iPad®"
"CA1152MO-N","Taška se dvěmi přihrádkami","Pevná taška se dvěma výklopy"
"CA1152MOS-N","Nostechná taška 24hodinová z kvalitní kůže pro notebook a iPad®","Nostechná taška 24hodinová z kvalitní kůže pro notebook a iPad®"
"CA1592W129-N","mužská taška na notebook a iPad® s praktickým designem","Kvalitní mužská taška na notebook a iPad® s praktickým designem."
"CA1816AP-TM","Pánská taška přes rameno na iPad®","Mužský kožený peněženkový pouzdro na iPad®"
"CA1816B2-BLU2","Pánská taštička na iPad®","Stylová a praktická pánská taštička určená pro bezpečné přenášení iPadu®. Kompaktní design umožňuje pohodlné nošení, zároveň nabízí dostatek místa pro další drobnosti. Moderní vzhled a odolný materiál zajišťují ideální kombinaci funkčnosti a elegance pro každodenní použití."
"CA1816B2-MO","Pánská taštička na iPad®","Stylová a praktická pánská taštička určená pro bezpečné přenášení iPadu®. Kompaktní design umožňuje pohodlné nošení, zároveň nabízí dostatek místa pro další drobnosti. Moderní vzhled a odolný materiál zajišťují ideální kombinaci funkčnosti a elegance pro každodenní použití."
"CA1816B2-N","Pánská taštička na iPad®","Stylová a praktická pánská taštička určená pro bezpečné přenášení iPadu®. Kompaktní design umožňuje pohodlné nošení, zároveň nabízí dostatek místa pro další drobnosti. Moderní vzhled a odolný materiál zajišťují ideální kombinaci funkčnosti a elegance pro každodenní použití."
"CA1816B2-R","Pánská taštička na iPad®","Stylová a praktická pánská taštička určená pro bezpečné přenášení iPadu®. Kompaktní design umožňuje pohodlné nošení, zároveň nabízí dostatek místa pro další drobnosti. Moderní vzhled a odolný materiál zajišťují ideální kombinaci funkčnosti a elegance pro každodenní použití."
"CA1816B3-AR","Pánská taška přes rameno na iPad®","Stylová a praktická pánská taška přes rameno, určená pro bezpečné přenášení iPadu® a dalších drobností. Lehký a pohodlný design zajišťuje snadné nošení po celý den, ideální pro každodenní použití, cestování nebo pracovní schůzky. Moderní vzhled kombinuje funkčnost s elegancí."
"CA1816B3-BLU4","Borsello uomo a tracolla uomo porta iPad® - BLU4","Mužský peněženkový přídavný přípravek v kvalitní kůži pro iPad®"
"CA1816B3-CU","Borsello uomo a tracolla uomo porta iPad® - CU","Mužský peněženkový přídavný přípravek v kvalitní kůži pro iPad®"
"CA1816B3-N","Pánská taška přes rameno na iPad®","Stylová a praktická pánská taška přes rameno, určená pro bezpečné přenášení iPadu® a dalších drobností. Lehký a pohodlný design zajišťuje snadné nošení po celý den, ideální pro každodenní použití, cestování nebo pracovní schůzky. Moderní vzhled kombinuje funkčnost s elegancí."
"CA1816B3-TM","Pánská taška přes rameno na iPad®","Mužský peněženkový přídavný přípravek v kvalitní kůži pro iPad®"
"CA1816BR2-N","Pánská taška přes rameno na iPad®","Stylová a praktická pánská taška přes rameno, určená pro bezpečné přenášení iPadu® a dalších drobností. Lehký a pohodlný design zajišťuje snadné nošení po celý den, ideální pro každodenní použití, cestování nebo pracovní schůzky. Moderní vzhled kombinuje funkčnost s elegancí."
"CA1816BR2-VE2","Pánská taška přes rameno na iPad®","Stylová a praktická pánská taška přes rameno, určená pro bezpečné přenášení iPadu® a dalších drobností. Lehký a pohodlný design zajišťuje snadné nošení po celý den, ideální pro každodenní použití, cestování nebo pracovní schůzky. Moderní vzhled kombinuje funkčnost s elegancí."
"CA1816MO-N","Taška na iPad® Air/Air2 s dvojitou přední kapsou","Praktická a elegantní taška určená pro iPad® Air a Air2, vybavená dvěma předními kapsami pro lepší organizaci drobností. Kompaktní a odolný design zajišťuje bezpečné přenášení zařízení, ideální pro každodenní použití, cestování nebo pracovní schůzky."
"CA1816MOS-BLU","Pánská taška přes rameno na iPad®","Stylová a praktická pánská taška přes rameno, určená pro bezpečné přenášení iPadu® a dalších drobností. Lehký a pohodlný design zajišťuje snadné nošení po celý den, ideální pro každodenní použití, cestování nebo pracovní schůzky. Moderní vzhled kombinuje funkčnost s elegancí."
"CA1816MOS-N","Pánská taška přes rameno na iPad®","Stylová a praktická pánská taška přes rameno, určená pro bezpečné přenášení iPadu® a dalších drobností. Lehký a pohodlný design zajišťuje snadné nošení po celý den, ideální pro každodenní použití, cestování nebo pracovní schůzky. Moderní vzhled kombinuje funkčnost s elegancí."
"CA1816S134-BLU","Borsello uomo a tracolla porta iPad® - BLU","Mužská kufříková taška na rameno z kvalitní kůže pro iPad® – praktická a stylová doplňková taška pro každodenní použití."
"CA1816S134-M","Borsello uomo a tracolla porta iPad® - M","Mužská kufříková taška na rameno z kvalitní kůže pro iPad® – praktická a stylová doplňková taška pro každodenní použití."
"CA1816S134-N","Borsello uomo a tracolla porta iPad® - N","Mužská kufříková taška na rameno z kvalitní kůže pro iPad® – praktická a stylová doplňková taška pro každodenní použití."
"CA1816S135-BLU","Borsello uomo porta iPad® - BLU","Eleganční kožená peněženka na iPad® s"
"CA1816S135-N","Borsello uomo porta iPad® - N","Eleganční kožená peněženka na iPad® s"
"CA1816S136-BLU","Borsello uomo porta iPad® - BLU","Mužský náramkový kabelka na iPad® z kvalitního tkaného materiálu"
"CA1816S136-N","Borsello uomo porta iPad® - N","Mužský náramkový kabelka na iPad® z kvalitního tkaného materiálu"
"CA1816S136-VE","Borsello uomo porta iPad® - VE","Mužský náramkový kabelka na iPad® z kvalitního tkaného materiálu"
"CA1816UB00-BLGR","Pánská taška přes rameno na iPad®","Praktická a stylová pánská taška přes rameno, určená pro bezpečné přenášení iPadu® a dalších drobností. Kompaktní a pohodlný design zajišťuje snadné nošení po celý den. Ideální pro každodenní použití, cestování nebo pracovní schůzky, kombinující funkčnost s moderním vzhledem."
"CA1816UB00-GRN","Pánská taška přes rameno na iPad®","Praktická a stylová pánská taška přes rameno, určená pro bezpečné přenášení iPadu® a dalších drobností. Kompaktní a pohodlný design zajišťuje snadné nošení po celý den. Ideální pro každodenní použití, cestování nebo pracovní schůzky, kombinující funkčnost s moderním vzhledem."
"CA1816UB00-N","Pánská taška přes rameno na iPad®","Praktická a stylová pánská taška přes rameno, určená pro bezpečné přenášení iPadu® a dalších drobností. Kompaktní a pohodlný design zajišťuje snadné nošení po celý den. Ideální pro každodenní použití, cestování nebo pracovní schůzky, kombinující funkčnost s moderním vzhledem."
"CA1816UB00-NGR","Pánská taška přes rameno na iPad®","Praktická a stylová pánská taška přes rameno, určená pro bezpečné přenášení iPadu® a dalších drobností. Kompaktní a pohodlný design zajišťuje snadné nošení po celý den. Ideální pro každodenní použití, cestování nebo pracovní schůzky, kombinující funkčnost s moderním vzhledem."
"CA1816W129-BLU","Borsello uomo porta iPad® - BLU","Mužská peněženka s ochranou RFID a místem pro iPad®"
"CA1816W129-N","Borsello uomo porta iPad® - N","Mužská peněženka s ochranou RFID a místem pro iPad®"
"CA2174B2-MO","Námořní bundy pro muže z kvalitní kůže s praktickou kapsou pro CONNEQU","Námořní bundy pro muže z kvalitní kůže s praktickou kapsou pro CONNEQU."
"CA2174B2-N","Námořní bundy pro muže z kvalitní kůže s praktickou kapsou pro CONNEQU","Námořní bundy pro muže z kvalitní kůže s praktickou kapsou pro CONNEQU."
"CA2174B3-AR","Pánská ledvinka","Výborný pánská ledvinka batoh z kvalitní kůže, který kombinuje styl s praktičností. Ideální pro každodenní použití nebo cestování."
"CA2174B3-BLU4","Pánská ledvinka","Výborný pánská ledvinka z kvalitní kůže, který kombinuje styl s praktičností. Ideální pro každodenní použití nebo cestování."
"CA2174B3-CU","Pánská ledvinka","Výborný pánská ledvinka batoh z kvalitní kůže, který kombinuje styl s praktičností. Ideální pro každodenní použití nebo cestování."
"CA2174B3-N","Pánská ledvinka","Výborný pánská ledvinka batoh z kvalitní kůže, který kombinuje styl s praktičností. Ideální pro každodenní použití nebo cestování."
"CA2174P16-CHEVN","Ledvinka","Praktický a stylový batoh"
"CA2174S134-M","Marsupio uomo crossover - M","Příčník pro muže v přechodovém stylu z ochranné kůže"
"CA2174S134-N","Marsupio uomo crossover - N","Příčník pro muže v přechodovém stylu z ochranné kůže"
"CA2174S136-N","Křížový mušle pro muže z recyklovaného materiálu - N","Křížový mušle pro muže z recyklovaného materiálu"
"CA2174UB00-N","Pánská ledvinka","Kvalitní mužský batoh z koženky – elegantní a praktický doplněk pro každý den."
"CA2765B2-N","Taška na počítač a iPad® Pro 12,9“ s možností rozšíření","Námořní taška na počítač a iPad® Pro 12,9“ s možností rozšíření"
"CA2765MO-N","Expandující taška na notebook a iPad® – pohodlná a praktická doplněk do každodenního života","Expandující taška na notebook a iPad® – pohodlná a praktická doplněk do každodenního života."
"CA2849B2-BLU2","Neléhavá a stylová taška na notebook a iPad® Pro 12,9"" s možností personalizace","Neléhavá a stylová taška na notebook a iPad® Pro 12,9"" s možností personalizace"
"CA2849B2-MO","Neléhavá a stylová taška na notebook a iPad® Pro 12,9"" s možností personalizace","Neléhavá a stylová taška na notebook a iPad® Pro 12,9"" s možností personalizace"
"CA2849B2-N","Neléhavá a stylová taška na notebook a iPad® Pro 12,9"" s možností personalizace","Neléhavá a stylová taška na notebook a iPad® Pro 12,9"" s možností personalizace"
